Column Header,Row Header,Content,Row Index,Column Index
IDI-7 成都  罗先生（Bella）,信息搜集/决策,"1）B站【对比影像】：2025的618换机攻略，索索5k+手机。自己之前给岳父买了M7 pro（加价买的），岳父有问界的汽车（有邮购券），摄影摄像都非常清晰。拍照还原度不如苹果，比较真实（之前觉得），但是刷新了认知。
芯片要么9400骁龙8至尊：没有什么对比的，半斤八两
屏幕亮度对自己而言不重要，差距不大
扬声器：自己也不关注
震动马达：自己不开震动
超声波指纹：不是很关注，但是有比没有好（湿手解锁）-B站横屏的时候有。
华为有红枫，vivo蔡司主带真实+长焦微距（蚂蚁和密封的虚虚都可以看到，不是看多远，而是看多近距离【对于普通用户】）效果更好。oppo ultra还可以，ai更自然，vivo更锐化，博主说oppo人像更合适，vivo拍摄细节和景物（更饱和细节和清晰）适合。但是vivo X200 pro是碾压的oppo pro的。
Q荣耀：没有在横屏出现过了
2）B站影视剧风：看了vivo X200 pro的，大底进光量大，炫光，但是因为有炫光价格下降（感觉自己还捡了便宜）。

Q线上看完，基本决定vivo了

3）线下门店：去看了vivo，网上有补贴（超过6k的手机也有500元的国补）。四川这边OV都是一个老板和代理商，建议X200 pro，价格上相同价位，炫光上带手机壳不会炫光（不是大问题）。店员说不建议买ultra，当时自己一定要买1T的（虽然说清晰，代价是质量高），很占用内存。XXXX（待补充）

3）自己搜索XX：很多小功能，快速分享+原子岛+AI回复信息，XXX特别多的小功能，还是挺有用的。每一个应用都可以双开（有了更好，很厉害，没有实质的改变，万一有特殊情况可以用到）。系统人性化，做了很多的调研的。源自笔记（识图+语音速记）",22,7
IDI-9 成都  张先生（Bella）-典型用户*,信息搜集/决策,"1）小红书：搜索小米15，用小米比较多，还是用小米搜索，第一家做Ultra的品牌。虽然很久没有选择小米了，是自己固定的习惯，换手机的时候第一眼先去看小米。【外观，芯片内存，电池，屏幕参数，影像能力】
小米：中庸，外观不是很好看，影像能力不是很突出
苹果：价格太贵了【出局】
华为Mate70：价格贵，最新的芯片不如骁龙前几代的芯片，看了评测+下面的评论（说虽然是自研的最高端的，但是和国外的芯片还是有差距），看了别人的使用体验【出局】
华为Pura70：影像只有3颗镜头，也是参数的评测，更多是靠主观；各个焦段摄像头尺寸+感光镜型号+焦段覆盖都看到了；芯片和Mate70差不多【出局】
X8 pro：拍摄样章，不是很惊艳，和Ultra系列还是有差距在。前面看下来制约的因素是镜头数量+联发科芯片。样章比不过X7 ultra
vivo X200 pro：背板的配色做工比较好，镜头模组做了日晕月晕的设计更有设计感。拍照比小米15 pro 5
Magic7 pro：焦段比较广，基础的硬件，屏幕护眼（独有），一个镜头组四个摄像头，特别之处会更多
XXX（以上对比待补充，有一些机型没有记录到）

2）线下（小米OV）
小米：质感不是很好，外观不是自己喜欢的；系统和几年前没有一点变化【出局】
OPPO：联发科芯片不是很满意，希望自己更高的价格买到的手机是骁龙的
vivo X200 pro：店员态度很差，聊影像的时候，一直在说价格，感觉看不起人，说X100ultra会更贵",22,9
IDI-16 北京  季先生,信息搜集/决策,"1）抖音李大锤：
华为Mate70Pro+：钛合金边框，双卫星通话（感觉有吸引力但不是很大，需要有电信的卡，露营去远处的时候能用到；比M60的卫星通话有优化-需要站在高处找），电池容量pro+大一点
荣耀M7pro：发热严重；任意门传输方便（办公）-感觉门店办公使用的时候有需要
14U：实际体验，大部分反馈镜头太大（其他人反馈还ok）-握持不舒服+买套件会更好（但是已经足够硌手了，有套件更臃肿）

1）抖音其他评测
华为Mate70Pro+：背板金丝，除了价格高买不到货没有看到太大的不好
荣耀M7pro：发热严重；
14U：硌手，玻璃背板粘指纹、素皮背板后期变色
【排序】华为>米>荣耀
华为：没有什么不好，用的上（耐用+双卫星+外观很好看，金丝和白色都可以）
小米：要出15U了，除了握持手感，其他都ok（如果没有70+，就会等15U去对比）
荣耀M7pro：发热，造型和M50基本一摸一样（没有新鲜感），扎染的效果不是很喜欢很乱的，喜欢纯色

2）线下门店：拍照都还可以比较清楚
华为：
没有现货，有两个展台；5.0鸿蒙next系统线上看的时候已经知道了，评测时候说微信用不了（更新的微信乱码，人脸识别有问题）Q兼容有问题：可以买4.3版本的，等稳定了再去更新5.0
背板发热是热的，但不是烫手的，运行起来有热度，来回切换
拍照：看清晰度，拉远；AI消除，算法的复原是比较好的
荣耀：打开游戏+测试（待补充测试方式），感觉确实发热严重；没有注意到AI消除功能
【排序】华为>米>荣耀
售后，有没有货物，需要等待多长时间






自带运行游戏看发热情况",22,16
IDI-6 成都  张女士（Bella）,"
不可妥协
外观/芯片/操作系统/拍照","【影响购机考虑的场景】续航时间长，之前的苹果手机电池太小了；拍照功能，苹果13会比较锐化就很难看（安卓手机拍照都做的很好，很多安卓手机美颜会比较过，但是近1-2年还可以）

【整体购买的关注点】外观，电池，拍照，系统（流畅+UI设计），AI（所有手机都在做，不能没有），价格，品牌
【不可妥协】外观（跟衣服一样），系统丝滑（不想用起来很卡顿，用起来交互设计做的比较差；切后台的时候），性能（电池+AI）
【不可妥协-场景相关】
1）外观：拿出来本身的外观设计需要好看，任何时候拿出来都要好看
2）系统：平时切换应用、刷抖音的时候不能卡顿。在家里的时候。
3）性能（包括电池+AI）：用的本身就是性能，电池一定要大电池，用手机比较多，不喜欢一直充电。AI：隐私保护这种，XX（待补充）
【可妥协】
1）拍照的要求不会很高：说的不会很差，能做到平均的标准就还行。比如拍摄人物的时候清晰（美颜不会很过）。
2）品牌：
3）价格：",24,6
IDI-8 成都  李同学（Bella）,"
不可妥协
外观/芯片/操作系统/拍照","【购机考虑】拍照，性能（芯片续航充电），生态，AI方面语音助手（siri，你好YOYO，小米小爱）语音助手（不想打开手机直接喊），外观（质感/手感）。补充：价格+品牌

【不可妥协】性能，拍照
【可妥协】生态，AI方面语音助手（siri，你好YOYO，小米小爱）语音助手（不想打开手机直接喊），外观（质感/手感）
【有了更好】品牌（有更好的品牌也可以更换）
Q价格（待补充）

【不可妥协-场景相关】
1）拍照：真实，不能锐化，不要磨皮美颜；早上拍摄美食，宠物，人物，风景，夜景。所有的拍照场景综合考虑。
Q食物：吃饭的时候，都会拍摄记录。拍照很重要，是记录回忆的东西，可以翻看相册看到。对手机的需求不是同一个需求都在一个手机上，芯片都是可以搭载自己的使用情况，更多的是关注拍照（小红书上带的风，小红书上很多拍照的帖子）。Q记录生活之后又怎样？：需要展现出来给别人看，也会分享到社交媒体上。（如果硬要选择是分享的耕读，照片拍摄的可以+故事感，自己也会觉得很有成就感，很开心）
2）性能：看网上的测评博主，有一个高中同学学习计算机的会把截图找到问好直接发给懂的朋友。Q自己的要求：芯片持续用2年，不会出现13卡顿的情况。学习通上做题考试一定不能卡出去。Q续航的场景：出门在外没有带充电宝的时候需要考虑，不方便充电的时候。Q充电速度：喝下午茶的时间，手机把电充满。

【可妥协】
1）生态：隔空投送文件，平板修图看文件（用大屏更好），实况+静态+视频【学习+生活】
2）语音助手：特定场景会使用，手机上很多泡沫，和其他人通话。但是现在的语音助手发展的都比较好（不会出现听不懂，人工智障的感觉，自己也有场景需要）
3）外观：直屏小手机，有的时候骑电动车需要单手握持，小手机单手握持，不能接受很大的摄像头（很大的方或者圆形），如果手机都很好的话其他外观方面也可以接受。
",24,8
IDI-8 成都  李同学（Bella）,AI应用场景,"【知道的】修图，消除，AI软件（夸克+豆包），网站AI，chatgpt；AI接听电话（国外苹果16的siri可以接听）
Q分类：
1）生活中的日常处理：AI接听电话；修图（醒图），siri拨打电话打开app
2）高级的（期末论文+作业，更高级的资料搜集）：chatgpt，deepseek
3）搜题+生活：豆包+夸克

【手机自带的和第三方的差异】
1）效果上的差异：手机自带喂进去效果好？？，豆包生成的照片不是很真实
2）其他的差异没有很清楚了

Q苹果自带的：使用Siri；随便哗啦几下生成图形（这个是之前刷到的视频，博主发的）。
Q语音助手和手机端侧AI的关系：语音助手没有这么全面，可能要借用搜索栏的设备。比豆包全面，可以微信发消息等一步到位的操作。人工喂的东西比软件喂的少一点。Q能做的效果和事情的差异：豆包可以搜索很多资料提供结果-需要接入外部浏览器，siri就是小ai助手。

【场景-豆包-帮助和闺蜜男朋友吵架】待补充
Q如果没有AI：可能会不知所措，耽误时间，如果有AI可以生成回复会便捷很多（发小红书的时候也是AI直接生成文案）
【符合预期】很客气，不冒犯
【超预期】情商很高的回复，态度+决策
【不符合预期】这次没有，但之前搜题的时候会给错的答案，硬说成某个案例题目的答案是对的。",28,8
IDI-8 成都  李同学（Bella）,长焦夜景场景,"【场景】傍晚拍摄夕阳，夜间拍摄人像。还有城市的拍摄（城市搭配夕阳很好看）；人像，傍晚拍摄很好看。
【夜间】闪光灯拍照，室内拍照。拍摄人+物体（晚上买的花，逛夜市的时候拍摄街景）。
【夜景长焦】拍摄物为主
Q长焦拍摄：旅游景点，有灯的桥，都江堰的水。

【典型的经历1-339电视塔】晚上很多人，会拍摄339.春熙路那边的夜景也很好看，有一个牌子。
【春熙路街景】跟男朋友一起，去逛街吃饭。当下的心情是挺开心的，晚上8点的时候夜景灯光很好看，1倍拍摄的时候很杂乱，长焦留住主体，避免背景的杂乱，就是一个构图。有电线杆+天梯，长焦放大避免杂乱的背景。
Q分享：发给朋友+第二天分享到朋友圈（把照片发给朋友去拍摄，日常的好看的照片）。自己也有发。Q文案：城市小记，休闲的散步，小红书找文案，抖音AI文案。XXX传递的语境：XXXX传递热爱生活记录高雅的人
Q反馈：很多点赞。XXXX（待补充）",29,8
IDI-3 上海 龚女士（Bella）,新颖独特性,待补充,35,3
IDI-16 北京  季先生,新颖独特性,"6分：边框一体，感觉尺寸可以更宽一点
待补充",35,16
IDI-16 北京  季先生,购买意愿,5分：待补充,36,16
IDI-25 武汉 孙女士*,购买意愿,6：XXXXXX（待补充）但是外观对自己的影响不大，也没有那么喜欢,36,25
